x;y;Distance;Type;Status;Player;Alliance;Bonus
-6;34;18,0278;1W 1C 1I 15C;ECSTASY; JD7;BERSERK.;Pending... (please wait)
-19;54;19,2354;1W 1C 1I 15C;&nbsp;(-19|54)&nbsp;; VAGABUNDO;BERSERK.;25%
20;70;27,5862;1W 1C 1I 15C;&nbsp;(20|70)&nbsp;; Top Amigos;*SVPPB*;Pending... (please wait)
5;37;14,8661;1W 1C 1I 15C;Dgin I; dgin;SoT-Br;75%
-22;56;22,561;1W 1C 1I 15C;&nbsp;(-22|56)&nbsp;; SoDe;ÓRION;75%
9;60;12,7279;1W 1C 1I 15C;&nbsp;(9|60)&nbsp;; Top Amigos;*SVPPB*;Pending... (please wait)
9;55;9,8489;1W 1C 1I 15C;Trenčín; raptor;H$-SVPPB;50%
2;72;21,095;1W 1C 1I 15C;terror_1; OM3GA;-SVPPB-;75%
-21;68;27,0185;1W 1C 1I 15C;[3]LISBOA; che_guevara;BERSERK.;75%
-19;70;26,8701;1W 1C 1I 15C;§ =Teutónia_1; Thurak;VR-§;Pending... (please wait)
-10;63;15,6205;1W 1C 1I 15C;§ 10.000 A.C 01; Garras de Aguia;BERSERK;75%
-1;65;14,0357;1W 1C 1I 15C;Sarah; j.sheppard;;25%
11;37;17,8045;1W 1C 1I 15C;Fяєиєzу - 02; Frenético;H$;75%
24;43;25,2982;1W 1C 1I 15C;02- Tsunami; Mazzaropi;*SVPPB*;50%
22;65;26,0768;1W 1C 1I 15C;03- Tornado; Mazzaropi;*SVPPB*;Pending... (please wait)
23;38;26,4197;1W 1C 1I 15C;FrIeNdShIp FoReVeR; Fernandes;SVPPB-Ak;50%
2;46;5,3852;1W 1C 1I 15C;KAvenskas 02 C; Kryger777;SOT-LT;75%
-16;35;22,6274;1W 1C 1I 15C;ROXX; TARTAMIGO;BERSERK.;Pending... (please wait)
15;35;21,9317;1W 1C 1I 15C;Santo Domingo; Drunken Sailor;SoT-Br;25%
8;46;9,434;1W 1C 1I 15C;Nova aldeia; VTA;SoT-Br;25%
-19;59;20,6155;1W 1C 1I 15C;Peterbald; tigr;SoT-Br;Pending... (please wait)
21;51;21;1W 1C 1I 15C;Nova aldeia; zodiac;;25%
-20;41;22,3607;1W 1C 1I 15C;V.00 C; kklemenn;BERSERK.;Pending... (please wait)
-3;53;3,6056;1W 1C 1I 15C;Nova aldeia; plikop3;SoT-Br;Pending... (please wait)
18;38;22,2036;1W 1C 1I 15C;RaquelSp 1; RaquelSp;H$*$vppB;75%
-7;52;7,0711;3W 3C 3I 9C;--§ BERSERKERS §--; triplo-x;BERSERK;0%
-21;44;22,1359;3W 3C 3I 9C;&nbsp;(-21|44)&nbsp;; E - NigmA;BERSERK.;75%
3;33;18,2483;3W 3C 3I 9C;*01_Iraque; El_bufalo;*SVPPB*;Pending... (please wait)
20;41;22,3607;3W 3C 3I 9C;Avalon; mila;H$;100%
-3;30;21,2132;3W 3C 3I 9C;malvado2; malvado;BERSERK.;100%
-20;48;20,2237;3W 3C 3I 9C;2)W&P; W&P;SoT-WR;75%
-5;44;8,6023;3W 3C 3I 9C;Cohab; GATE;;50%
1;62;11,0454;3W 3C 3I 9C;Nova aldeia; cesar10;SoT-Br;Pending... (please wait)
-21;51;21;3W 3C 3I 9C;Nova aldeia; davi29;;25%
17;45;18,0278;3W 3C 3I 9C;Aldeia Do GoRÓ ܓ; AfricaNo;H$;100%
12;41;15,6205;3W 3C 3I 9C;Aldeia Do Arigó ܓ; AfricaNo;H$;25%
-24;33;30;3W 3C 3I 9C;Quênia; terios;BERSERK.;Pending... (please wait)
11;31;22,8254;3W 3C 3I 9C;MALANA; HASH1;;Pending... (please wait)
-4;64;13,6015;3W 3C 3I 9C;2ª Aldeia Da Besta; Besta do Alipse;BERSERK;75%
-19;66;24,2074;3W 3C 3I 9C;§ desespero; pct;BERSERK;Pending... (please wait)
0;59;8;3W 3C 3I 9C;[2] PSICOSIS; Furia;;Pending... (please wait)
3;39;12,3693;3W 3C 3I 9C;Dgin Ib; dgin;SoT-Br;75%
4;73;22,3607;3W 3C 3I 9C;Thats What You Get; ShinigamiHelder;;75%
4;42;9,8489;3W 3C 3I 9C;Dgin Ia; dgin;SoT-Br;50%
16;70;24,8395;3W 3C 3I 9C;tukanu - 09; tukanur;HS-SvPPb;75%
19;35;24,8395;3W 3C 3I 9C;Uzumaki Naruto II; uzumaki naruto;H$*$vppB;25%
-17;48;17,2627;3W 3C 3I 9C;&nbsp;(-17|48)&nbsp;; El_pEsag0;W-Lemo;Pending... (please wait)
8;74;24,3516;3W 3C 3I 9C;vale abandonado ;;;75%
11;74;25,4951;3W 3C 3I 9C;vale abandonado ;;;75%
